Customer_ID,Name,Age,Gender,State,City,Income,Income_Group,Education,Profession,Marital_Status,Family_Size,Spending_Score,Last_Purchase_Date,Total_Transactions,Total_Spent,Recency,Frequency,Preferred_Category,Mobile_App_Usage (mins/day),Website_Activity (mins/day),Customer_Lifetime_Value
1c1e4422,Parth Chacko,43,Female,Gujarat,Rajkot,578935,Middle Income,Diploma,Student,Single,1,34,2024-06-14,126,96390,134,37,Clothing,59,12,46004.76
05d52896,Sachi Tandon,67,Other,Uttar Pradesh,Lucknow,156048,Low Income,Others,Student,Married,3,8,2024-10-15,309,294477,104,26,Travel,88,4,35030.22
3d839824,Ria Subramanian,21,Other,Maharashtra,Mumbai,239321,Low Income,Diploma,Business Owner,Divorced,8,49,2024-10-05,108,35856,190,7,Education,63,74,16752.66
058d2e9b,Raksha Mandal,43,Female,Kerala,Kochi,866436,Middle Income,Undergraduate,Business Owner,Married,8,1,2023-12-05,33,26301,277,19,Food & Beverages,5,98,10579.31
0822acaa,Aarnav Radhakrishnan,30,Male,Tamil Nadu,Chennai,236949,Low Income,Diploma,IT Professional,Single,5,6,2024-02-02,110,108570,34,22,Healthcare,83,17,27277.76
36105395,Qabil Varkey,26,Female,Karnataka,Bengaluru,211311,Low Income,Others,Government Employee,Divorced,6,96,2024-03-03,163,157458,339,45,Technology,110,36,37188.88
95d43d51,Garima Brahmbhatt,28,Female,Tamil Nadu,Coimbatore,121762,Low Income,Others,Business Owner,Divorced,4,60,2024-03-27,309,203322,203,8,Healthcare,8,86,84530.15
44abee28,Ijaya Kapoor,38,Female,Karnataka,Mangaluru,4480071,High Income,Diploma,Student,Divorced,6,97,2024-08-08,119,69139,245,39,Technology,95,9,21863.46
1ee8959f,Suhani Keer,21,Male,Karnataka,Mangaluru,170751,Low Income,Diploma,Government Employee,Married,3,38,2024-04-23,343,293951,153,10,Technology,83,119,100884.47
31e9aabd,Yashica Chahal,33,Male,Tamil Nadu,Madurai,290352,Low Income,Others,IT Professional,Single,8,21,2024-10-08,111,54501,181,33,Groceries,81,108,13162.69
bfa6587d,Jatin Mahajan,40,Male,Gujarat,Ahmedabad,2730132,High Income,Postgraduate,IT Professional,Single,7,56,2024-05-07,45,5940,77,13,Electronics,53,9,1961.56
a1502b42,Vamakshi Kibe,67,Female,Rajasthan,Udaipur,3904935,High Income,Others,Government Employee,Single,2,70,2024-07-17,189,30807,148,48,Technology,101,83,11338.06
3e58a5b0,Ekani Subramaniam,53,Female,Maharashtra,Mumbai,4090312,High Income,Undergraduate,Student,Single,7,21,2023-12-17,402,234366,39,30,Education,4,106,116754.03
1b1eefb6,Lekha Sathe,19,Male,Gujarat,Surat,129438,Low Income,Others,IT Professional,Divorced,6,4,2024-08-29,319,199056,92,7,Travel,79,61,62305.41
06ab3e37,Frederick Dyal,26,Male,Delhi NCR,Noida,209283,Low Income,Diploma,Student,Single,3,47,2024-06-06,306,101898,213,21,Food & Beverages,59,118,34427.51
e54929cc,Ishita Saha,46,Other,Rajasthan,Jaipur,2524886,High Income,Postgraduate,Business Owner,Divorced,6,35,2024-01-04,203,92771,119,17,Luxury Goods,80,95,23587.41
e9102178,Yochana Virk,50,Other,Maharashtra,Pune,218457,Low Income,Undergraduate,Business Owner,Single,8,21,2024-08-22,56,30688,159,27,Education,41,49,7839.92
c7818a2c,Faraj Grover,35,Other,West Bengal,Kolkata,227478,Low Income,Others,IT Professional,Divorced,5,20,2024-10-01,93,45570,349,26,Education,46,85,18945.97
f4c5cd7c,Ucchal Deshmukh,37,Female,Karnataka,Mangaluru,1099672,Middle Income,Diploma,Business Owner,Single,7,99,2024-10-18,275,173800,232,39,Groceries,66,63,37103.99
776867c8,Charvi Bahl,33,Female,Maharashtra,Nagpur,1174099,Middle Income,Undergraduate,Business Owner,Single,4,78,2024-08-08,242,133584,292,5,Groceries,34,46,34122.12
650cb164,Oscar Saxena,46,Female,Rajasthan,Udaipur,559302,Middle Income,Others,IT Professional,Divorced,2,13,2023-12-17,377,148161,163,8,Entertainment,76,95,36738.15
881d9a91,Kiaan Sandhu,33,Other,Rajasthan,Kota,807599,Middle Income,Diploma,Homemaker,Married,1,83,2024-04-12,156,135252,105,5,Luxury Goods,53,88,60360.52
3767b443,Vidhi Sawhney,20,Female,Uttar Pradesh,Kanpur,440345,Middle Income,Postgraduate,Government Employee,Married,6,10,2024-01-23,455,365365,223,44,Electronics,48,112,47801.59
df946d92,Bachittar Jhaveri,66,Male,Punjab,Patiala,1077055,Middle Income,Postgraduate,Business Owner,Divorced,6,9,2023-12-13,385,379995,19,27,Healthcare,48,109,78705.34
8037d4f9,Zashil Pathak,55,Other,West Bengal,Durgapur,1001568,Middle Income,Postgraduate,Homemaker,Divorced,3,18,2024-08-03,423,215730,137,24,Entertainment,101,102,45987.99
9c7bb95b,Rajata Mane,69,Other,West Bengal,Howrah,236989,Low Income,Others,Business Owner,Married,5,71,2024-05-26,406,279734,24,33,Healthcare,68,14,131538.39
20b43812,Pavani Mand,31,Female,Tamil Nadu,Madurai,170608,Low Income,Diploma,Business Owner,Single,4,67,2024-10-14,66,27456,153,31,Clothing,49,13,12873.21
716aaab7,Baljiwan Parmer,21,Male,Punjab,Amritsar,3249062,High Income,Postgraduate,Government Employee,Married,6,89,2024-11-04,79,43608,163,50,Education,22,105,8543.36
5fab5fe7,Harshil Bhatti,37,Female,Karnataka,Bengaluru,1583457,High Income,Postgraduate,Homemaker,Married,1,53,2024-06-02,419,191902,360,16,Travel,17,67,40202.73
c7e2f865,Yoshita Saran,38,Female,Maharashtra,Nashik,260937,Low Income,Others,IT Professional,Single,3,14,2024-06-17,366,145668,267,36,Education,93,11,39647.63
f65e8af8,Mitesh Verma,55,Other,West Bengal,Siliguri,185188,Low Income,Postgraduate,IT Professional,Divorced,1,44,2024-02-13,101,24947,104,28,Travel,80,78,10005.48
211c4df6,Nisha Dube,68,Male,Tamil Nadu,Coimbatore,681377,Middle Income,Diploma,Homemaker,Single,4,32,2024-09-28,354,193992,317,33,Technology,53,90,68177.28
b739e468,Baghyawati Sane,36,Male,Delhi NCR,Noida,210861,Low Income,Postgraduate,Homemaker,Divorced,4,92,2024-09-01,171,53694,107,40,Entertainment,47,58,12155.5
6359c24a,Krish Zachariah,70,Female,Kerala,Thiruvananthapuram,1093363,Middle Income,Diploma,Business Owner,Single,5,90,2024-10-31,59,24249,105,46,Luxury Goods,10,38,7632.28
bf3c0c5f,Balveer Saini,37,Female,Rajasthan,Udaipur,278281,Low Income,Others,IT Professional,Single,1,83,2024-01-23,135,134595,276,16,Entertainment,89,74,14660.52
76ff3225,Lila Choudhry,26,Male,Tamil Nadu,Coimbatore,397439,Middle Income,Postgraduate,Government Employee,Single,5,52,2024-05-04,40,6160,29,5,Clothing,86,8,1992.94
e5ac44c0,Raghav Soni,24,Male,Tamil Nadu,Coimbatore,214195,Low Income,Undergraduate,Homemaker,Single,7,87,2024-10-28,368,235152,231,38,Groceries,17,97,78241.56
0509cfdc,Lopa Samra,65,Male,West Bengal,Howrah,151820,Low Income,Undergraduate,IT Professional,Divorced,3,55,2024-05-26,234,113490,41,13,Technology,4,55,24020.21
5eb1206b,Maya Kashyap,64,Other,Gujarat,Ahmedabad,4239998,High Income,Diploma,Student,Single,3,69,2024-08-07,444,192696,98,36,Luxury Goods,78,57,24433.46
92f86a3a,Qadim Sane,62,Female,Karnataka,Bengaluru,2712476,High Income,Others,Business Owner,Married,8,39,2024-03-11,487,337978,143,20,Healthcare,71,14,94446.64
ef454f26,Ganga Krish,45,Male,Karnataka,Hubli-Dharwad,174542,Low Income,Others,Business Owner,Divorced,8,27,2024-06-29,29,19227,188,50,Entertainment,104,61,2498.01
28ba126e,Amruta Oommen,63,Male,Kerala,Thiruvananthapuram,789619,Middle Income,Postgraduate,Homemaker,Married,2,91,2024-01-31,238,129234,338,47,Luxury Goods,55,7,58725.81
b2db3b25,Saumya Naik,70,Female,Maharashtra,Nagpur,233922,Low Income,Diploma,IT Professional,Married,6,53,2024-10-06,223,53520,299,26,Healthcare,99,22,7486.97
ccb60a5b,Darpan Pillay,21,Female,Tamil Nadu,Trichy,1442143,High Income,Diploma,Student,Single,7,49,2024-08-07,274,189882,38,26,Travel,1,45,32733.31
e1237fa7,Dayita Rau,41,Female,Uttar Pradesh,Kanpur,153776,Low Income,Diploma,Government Employee,Divorced,2,96,2024-11-05,114,37506,305,46,Travel,35,89,3753.28
053fb860,Samesh Mohan,21,Other,Karnataka,Bengaluru,360815,Middle Income,Postgraduate,Business Owner,Divorced,6,18,2024-08-06,377,351741,295,2,Groceries,113,120,146449.56
b7ae4f28,Ladli Koshy,32,Female,Karnataka,Hubli-Dharwad,865679,Middle Income,Postgraduate,IT Professional,Divorced,2,44,2024-01-23,131,88294,161,3,Clothing,70,82,40597.3
d15fdd6e,Arunima Sangha,52,Male,Tamil Nadu,Trichy,195309,Low Income,Others,Government Employee,Divorced,1,24,2024-07-11,18,6750,67,9,Technology,0,21,1109.4
462dfd6a,Omya Raghavan,48,Other,Uttar Pradesh,Lucknow,2286101,High Income,Others,IT Professional,Single,7,19,2024-06-05,451,85239,173,37,Groceries,81,96,19546.14
68a953ce,Ishaan Aurora,39,Female,Gujarat,Rajkot,566455,Middle Income,Undergraduate,Homemaker,Married,1,4,2024-02-10,188,116372,121,4,Healthcare,76,37,23628.89
45a5a22d,Anmol Raja,32,Male,West Bengal,Kolkata,226993,Low Income,Others,Homemaker,Single,7,78,2024-08-17,451,289091,306,17,Luxury Goods,101,117,143198.48
846c44b3,Isha Sharma,50,Male,Rajasthan,Kota,4490493,High Income,Others,Business Owner,Divorced,4,85,2024-08-08,363,142296,144,50,Food & Beverages,18,96,15505.82
c2d2f297,Harish Som,27,Male,Uttar Pradesh,Lucknow,3213789,High Income,Diploma,Business Owner,Married,7,37,2024-06-21,89,32396,111,42,Groceries,82,85,15190.15
e9cca361,Diya Patil,47,Other,Maharashtra,Pune,212250,Low Income,Undergraduate,Student,Married,8,88,2024-09-14,219,190968,16,31,Healthcare,116,50,89766.38
a9a5bffb,Chandresh Bedi,19,Female,West Bengal,Durgapur,2703733,High Income,Others,IT Professional,Divorced,3,20,2024-08-21,92,55292,102,42,Education,65,116,10176.17
8f5c581a,Widisha Bhatt,27,Female,Karnataka,Mangaluru,138699,Low Income,Diploma,Student,Married,8,73,2024-10-25,217,160797,257,26,Healthcare,33,97,23006.08
e0b53a80,Krisha Yogi,50,Male,West Bengal,Siliguri,291087,Low Income,Postgraduate,Student,Single,4,82,2024-01-18,93,35154,276,34,Entertainment,38,74,4123.06
43a1d13e,Faris Deshmukh,59,Male,Karnataka,Bengaluru,1845227,High Income,Postgraduate,Government Employee,Married,5,68,2024-02-18,216,189648,32,1,Food & Beverages,22,115,34954.52
fc36dd9b,Udarsh Dugal,64,Female,Karnataka,Hubli-Dharwad,768596,Middle Income,Undergraduate,Student,Single,1,3,2024-09-19,425,269875,245,32,Clothing,68,112,56989.93
50042da4,Bachittar Pal,59,Female,Punjab,Patiala,140589,Low Income,Postgraduate,IT Professional,Divorced,2,23,2024-02-20,33,7656,44,26,Clothing,38,55,780.69
72903705,Yutika Sathe,64,Female,Uttar Pradesh,Agra,2122523,High Income,Undergraduate,Business Owner,Married,3,66,2024-09-15,299,30199,312,42,Luxury Goods,82,93,6439.2
6bba081b,Ishaan Chauhan,62,Other,Tamil Nadu,Madurai,282508,Low Income,Undergraduate,Business Owner,Married,3,50,2024-03-13,150,83100,292,38,Electronics,79,95,23384.82
554e9dcd,Kamya Barad,43,Other,West Bengal,Siliguri,3576269,High Income,Diploma,IT Professional,Married,1,11,2024-08-01,157,156372,55,15,Electronics,107,47,71149.48
167ac0e8,Mohammed Barad,26,Male,Rajasthan,Jodhpur,326693,Middle Income,Postgraduate,IT Professional,Divorced,6,81,2024-06-11,151,68856,85,11,Technology,23,108,15756.97
cb6a0722,Ekantika Wagle,67,Other,Uttar Pradesh,Agra,354126,Middle Income,Diploma,Government Employee,Single,4,27,2024-02-01,208,195104,183,37,Healthcare,57,26,43683.31
58821742,Chaaya Madan,36,Female,Tamil Nadu,Madurai,3061799,High Income,Others,Homemaker,Married,6,45,2024-09-28,387,350622,22,15,Entertainment,54,111,69862.03
801f97a8,Sara Agrawal,67,Male,Tamil Nadu,Madurai,811040,Middle Income,Diploma,IT Professional,Single,3,49,2024-06-07,37,22237,29,34,Groceries,19,89,2450.19
e3267fb2,Falan Gupta,52,Other,Maharashtra,Mumbai,1749377,High Income,Postgraduate,Government Employee,Divorced,4,16,2024-11-08,77,36421,310,26,Groceries,119,101,12060.97
b54a61d8,Upadhriti Nagi,19,Male,Kerala,Thiruvananthapuram,1071001,Middle Income,Diploma,IT Professional,Single,1,78,2024-09-13,251,71284,36,48,Entertainment,107,90,25138.25
23fd243c,Elijah Banerjee,63,Male,Rajasthan,Udaipur,726367,Middle Income,Postgraduate,Homemaker,Married,3,96,2024-01-19,393,245625,293,27,Electronics,17,79,81284.23
739a306d,Qadim Bahri,47,Other,Punjab,Ludhiana,910858,Middle Income,Postgraduate,Business Owner,Single,1,46,2024-11-07,237,61383,355,42,Technology,93,40,12702.79
5910fe59,Prisha Rege,57,Male,West Bengal,Howrah,593488,Middle Income,Undergraduate,Government Employee,Married,6,67,2024-04-15,10,7500,138,19,Healthcare,65,53,848.62
d0dcd5fe,Timothy Khatri,23,Other,Gujarat,Rajkot,667989,Middle Income,Undergraduate,Homemaker,Divorced,3,80,2024-03-26,250,42250,208,27,Education,103,80,13788.09
ab0ee380,Jeevika Balay,53,Female,Rajasthan,Kota,322085,Middle Income,Postgraduate,Student,Divorced,2,21,2024-01-26,240,115200,85,1,Food & Beverages,78,42,39812.71
6b38283f,Hema Thakur,46,Other,Uttar Pradesh,Agra,3280058,High Income,Diploma,IT Professional,Married,2,44,2024-11-04,383,322103,316,23,Entertainment,43,83,68136.65
66a97c46,Amrita Reddy,35,Female,Karnataka,Bengaluru,173252,Low Income,Undergraduate,Homemaker,Single,4,82,2024-07-10,318,118614,268,23,Food & Beverages,60,102,43467.47
2cb553de,Reyansh Virk,67,Male,Kerala,Thrissur,164898,Low Income,Undergraduate,Business Owner,Married,1,2,2024-06-23,186,183768,251,35,Food & Beverages,97,23,87451.31
5585f40a,Ubika Madan,63,Male,Rajasthan,Udaipur,3567292,High Income,Diploma,Student,Married,6,21,2024-02-22,289,43928,266,26,Healthcare,19,52,20328.38
89851671,Dev Datta,59,Male,Punjab,Amritsar,1069273,Middle Income,Diploma,Student,Divorced,3,29,2024-01-09,124,104284,38,49,Entertainment,61,18,23413.52
8e0cef4a,Edhitha Taneja,32,Male,Kerala,Kozhikode,4067606,High Income,Undergraduate,Student,Divorced,1,87,2023-11-18,472,246856,270,35,Technology,42,95,72890.15
7964d84e,Hritik Raghavan,32,Male,Rajasthan,Udaipur,546227,Middle Income,Diploma,Business Owner,Divorced,8,28,2024-10-23,446,232812,219,49,Entertainment,15,85,68234.86
9702f7f2,Baghyawati Chopra,18,Other,Maharashtra,Mumbai,4407231,High Income,Diploma,Government Employee,Married,6,24,2024-03-23,329,281953,267,3,Healthcare,104,67,134503.7
03b7ff0e,Fitan Kade,45,Male,West Bengal,Howrah,4654094,High Income,Undergraduate,Homemaker,Married,4,64,2024-09-09,5,2400,177,13,Technology,3,88,950.55
7d139b08,Max Anand,39,Other,Rajasthan,Jaipur,193599,Low Income,Others,Student,Married,1,18,2024-08-09,159,157569,68,35,Education,103,4,15878.62
bc118414,Upma Dani,43,Other,Delhi NCR,New Delhi,298547,Low Income,Others,Business Owner,Divorced,3,71,2023-12-22,353,263338,14,25,Clothing,24,12,130130.79
d765c2e3,Chandran Pandey,36,Other,Delhi NCR,Noida,3610874,High Income,Others,Student,Married,2,11,2024-02-11,280,269920,160,45,Groceries,63,71,85757.89
72be4900,Bimala Sridhar,65,Other,Delhi NCR,New Delhi,188249,Low Income,Undergraduate,Student,Divorced,5,33,2024-09-13,358,110622,126,41,Luxury Goods,49,101,23675.79
4bc8a0ae,Ekantika Kashyap,24,Female,Rajasthan,Jodhpur,292047,Low Income,Undergraduate,Business Owner,Divorced,8,5,2024-11-14,41,10537,75,42,Technology,19,46,4190.02
37093956,Lajita Iyer,54,Female,Gujarat,Surat,220078,Low Income,Undergraduate,Student,Single,7,87,2024-04-17,433,377576,209,6,Travel,109,6,45463.25
c7530fff,Ubika Nadkarni,38,Other,Gujarat,Rajkot,274607,Low Income,Others,Government Employee,Divorced,2,24,2024-08-24,204,150552,299,17,Groceries,96,7,67188.95
85a773d9,Chanakya Krishnamurthy,42,Female,Delhi NCR,New Delhi,665823,Middle Income,Undergraduate,Business Owner,Divorced,1,52,2024-08-07,398,372926,155,22,Education,97,52,132189.1
e12559a0,Deepa Pingle,48,Female,Punjab,Ludhiana,683450,Middle Income,Others,Government Employee,Single,2,45,2023-12-01,389,66130,59,46,Food & Beverages,7,87,20790.58
52219db3,Hredhaan Iyengar,46,Male,Tamil Nadu,Trichy,248912,Low Income,Postgraduate,Business Owner,Married,1,41,2024-07-30,43,17802,185,6,Entertainment,77,4,7208.97
c09397cb,Rushil Vaidya,22,Other,Kerala,Thrissur,748761,Middle Income,Postgraduate,Homemaker,Single,4,8,2024-03-20,89,69687,0,40,Healthcare,97,106,26319.48
3ea3705d,Eta Contractor,61,Male,Tamil Nadu,Coimbatore,3010728,High Income,Others,Business Owner,Single,6,39,2024-01-19,263,208822,93,40,Electronics,66,25,97060.01
314b2014,Sara Sami,24,Female,Punjab,Ludhiana,180941,Low Income,Diploma,Business Owner,Divorced,3,61,2024-03-19,55,8965,218,15,Clothing,38,1,1618.58
6b12fef0,Ati Grover,22,Female,West Bengal,Durgapur,276943,Low Income,Others,Student,Married,3,74,2023-12-06,18,17478,227,13,Food & Beverages,66,24,5147.01
f5f1e6fc,Nicholas Yogi,47,Male,Kerala,Thrissur,368283,Middle Income,Postgraduate,Homemaker,Single,6,65,2024-05-01,331,315443,226,41,Clothing,118,48,62270.28
471406db,Nathaniel Bakshi,50,Male,West Bengal,Siliguri,238400,Low Income,Diploma,Government Employee,Divorced,7,11,2024-09-04,474,178224,149,20,Clothing,76,111,18047.45
c704121c,Bhavini Chand,44,Male,Rajasthan,Jaipur,2859159,High Income,Undergraduate,Government Employee,Single,8,79,2024-10-17,243,214326,168,39,Groceries,62,21,89915.59
1756bf35,Tara Sathe,31,Male,Kerala,Thiruvananthapuram,290674,Low Income,Postgraduate,Student,Divorced,4,59,2023-12-03,191,134655,339,3,Healthcare,83,62,41264.34
61d176dc,Nandini Raju,42,Other,Punjab,Amritsar,286949,Low Income,Diploma,Student,Divorced,6,17,2024-10-03,26,9438,257,38,Healthcare,25,17,2200.0
c5d156eb,Dev Chaudhary,19,Male,Punjab,Chandigarh,3734012,High Income,Diploma,IT Professional,Single,7,11,2023-11-24,126,25074,160,46,Clothing,88,106,9117.43
fea5b5bb,Aarav Patil,23,Male,Karnataka,Bengaluru,195130,Low Income,Others,IT Professional,Single,8,51,2024-10-09,180,26460,284,9,Groceries,39,85,3237.16
b0522547,Ishwar Keer,51,Other,Uttar Pradesh,Agra,4272921,High Income,Others,Business Owner,Married,3,6,2024-07-26,165,73260,112,46,Groceries,55,30,13092.66
ae833509,Ethan Sarin,36,Female,Kerala,Kochi,1048950,Middle Income,Diploma,IT Professional,Married,3,86,2024-04-09,293,225024,218,28,Entertainment,30,76,104990.79
6a1ff325,Chavvi Deo,18,Other,Tamil Nadu,Coimbatore,765426,Middle Income,Undergraduate,Government Employee,Married,5,93,2024-11-12,164,110372,131,47,Electronics,23,97,43255.75
3e82a67e,Hardik Nadkarni,52,Female,Karnataka,Bengaluru,187500,Low Income,Postgraduate,Student,Married,4,82,2024-06-12,321,49434,186,19,Luxury Goods,35,10,12526.47
bd94c889,Varenya Yogi,64,Male,Uttar Pradesh,Kanpur,272842,Low Income,Others,Student,Married,8,72,2024-02-05,88,65384,268,36,Technology,115,33,10512.37
ea2961f4,Amrita Behl,70,Male,Gujarat,Ahmedabad,955302,Middle Income,Others,IT Professional,Married,5,78,2024-03-28,383,55535,118,50,Technology,40,64,15453.11
83f5f803,Shivansh Soni,69,Other,Uttar Pradesh,Agra,2271850,High Income,Others,IT Professional,Single,8,91,2024-07-11,47,17860,238,45,Technology,38,32,4755.2
e6709374,Veer Patla,63,Other,Maharashtra,Mumbai,134214,Low Income,Others,Business Owner,Married,4,35,2024-10-30,292,49932,56,18,Travel,82,30,14630.44
74be33d4,Azaan Dubey,42,Male,Karnataka,Mysuru,2626254,High Income,Postgraduate,Homemaker,Divorced,1,85,2024-08-27,134,23986,300,3,Food & Beverages,71,1,3873.69
88bb9965,Faqid Shanker,36,Female,West Bengal,Kolkata,685780,Middle Income,Undergraduate,Student,Married,2,55,2024-11-01,167,161489,42,41,Entertainment,30,22,55759.16
bc247499,Damini Thakkar,29,Other,Tamil Nadu,Trichy,793365,Middle Income,Diploma,Student,Divorced,8,76,2024-05-22,302,191770,20,33,Entertainment,120,50,44742.96
caa7a4b7,Panini Dhar,60,Other,Punjab,Ludhiana,147432,Low Income,Diploma,IT Professional,Divorced,1,89,2024-03-16,350,194250,64,1,Entertainment,39,2,86358.1
5662a1dd,Vritti Dugar,49,Male,Uttar Pradesh,Lucknow,2831963,High Income,Diploma,Government Employee,Married,3,98,2024-03-29,370,238650,96,23,Entertainment,90,8,56873.22
6fa8f48e,Ekta Bhatia,37,Female,Uttar Pradesh,Agra,145389,Low Income,Postgraduate,Homemaker,Married,4,53,2024-05-28,297,177903,285,38,Food & Beverages,89,84,32959.62
